|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                             192.168.1.1 -    2 |   84 |   83 |    1 |    2 |   17 |    3 |
|                   No response from host -  100 |   18 |    0 |    0 |    0 |    0 |    0 |
|                          89.178.245.157 -    3 |   78 |   76 |    1 |    3 |   24 |    4 |
|                           smtp1.tlsa.ru -    2 |   81 |   80 |    2 |    3 |   25 |    3 |
|                    pe26.Moscow.gldn.net -    0 |   85 |   85 |   25 |   29 |  124 |   26 |
|                           195.239.86.98 -    3 |   77 |   75 |   27 |   30 |   84 |   27 |
|                           23.111.52.127 -    2 |   81 |   80 |   25 |   27 |   83 |   26 |
|                   No response from host -  100 |   18 |    0 |    0 |    0 |    0 |    0 |
|                   No response from host -  100 |   18 |    0 |    0 |    0 |    0 |    0 |
|                              10.0.221.3 -    0 |   85 |   85 |   26 |   28 |   57 |   27 |
|                stormy.newkaliningrad.ru -    0 |   85 |   85 |   25 |   27 |   57 |   28 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v0.92 GPL V2 by Appnor MSP - Fully Managed Hosting & Cloud Provider
